9
13
id,pNum,name,px,py,pz,sx,sy,sz
0,1,san,0.000000,-30.000000,-0.753212,1.000000,1.000000,1.000000
1,2,,10.000000,0.000000,0.000000,1.000000,1.000000,1.000000
2,4,ue,5.000000,0.000000,10.000000,45.000000,5.000000,1.000000
3,4,shita,5.000000,0.000000,-10.000000,45.000000,5.000000,1.000000
4,4,migi,-17.500000,0.000000,-2.679998,1.000000,5.000000,25.000000
5,4,hidari,18.269960,0.000000,-2.639998,1.000000,5.000000,25.000000
6,15,,0.000000,0.300000,10.170011,1.000000,1.000000,1.000000
7,15,2,18.199999,0.800000,10.000001,1.000000,1.000000,1.000000
8,15,dark3,-18.700001,0.500000,10.200000,1.000000,1.000000,1.000000
9,15,dark4,18.300001,0.500000,-10.100001,1.000000,1.000000,1.000000
10,15,dark5,0.000000,0.600000,-10.200000,1.000000,1.000000,1.000000
11,15,dark5,-18.700001,0.400000,-10.099999,1.000000,1.000000,1.000000
12,14,,0.000000,3.900000,0.000000,1.300000,-1.300000,1.300000
